transaction_id,channel_id,product_id,sale_date,quarter,quantity,amount
T100001,CH001,P04,2024-05-16,2024-Q2,2,33.98
T100002,CH001,P05,2024-06-20,2024-Q2,1,£16
T100003,CH001,P05,2024-11-10,2024-Q4,1,£15.99
T100004,CH001,P05,2024-09-16,2024-Q3,2,31.98
T100005,CH001,P03,2024-11-11,2024-Q4,1,£11.99
T100006,CH001,P06,2024-02-10,2024-Q1,3,£164.97
T100007,CH001,P02,2024-07-21,2024-Q3,1,£14.99
T100008,CH001,P04,2024-02-17,2024-Q1,1,£16.99
T100009,CH001,P05,2024-01-12,2024-Q1,2,£32
T100010,CH001,P01,2024-01-05,2024-Q1,2,£25.98
T100011,CH001,P01,2024-11-12,2024-Q4,1,£13
T100012,CH001,P04,2024-12-16,2024-Q4,1,£16.99
T100013,CH001,P01,2024-08-03,2024-Q3,1,12.99
T100014,CH001,P05,2024-07-22,2024-Q3,1,£15.99
T100015,CH001,P05,2024-12-11,2024-Q4,2,31.98
T100016,CH001,P03,2024-12-20,2024-Q4,1,11.99
T100017,CH001,P02,2024-08-09,2024-Q3,1,£14.99
T100018,CH001,P04,2024-11-01,2024-Q4,1,16.99
T100019,CH001,P05,2024-04-06,2024-Q2,1,15.99
T100020,CH001,P05,2024-06-12,2024-Q2,1,15.99
T100021,CH001,P03,2024-09-22,2024-Q3,2,£24
T100022,CH001,P01,2024-01-16,2024-Q1,1,£13
T100023,CH001,P01,2024-01-28,2024-Q1,3,£38.97
T100024,CH001,P06,2024-03-14,2024-Q1,1,£54.99
T100025,CH001,P05,2024-05-01,2024-Q2,2,£31.98
T100026,CH001,P04,2024-01-19,2024-Q1,2,£33.98
T100027,CH001,P01,2024-02-12,2024-Q1,2,£25.98
T100028,CH001,P04,2024-07-25,2024-Q3,2,33.98
T100029,CH001,P02,2024-11-20,2024-Q4,1,£15
T100030,CH001,P03,2024-02-13,2024-Q1,1,£11.99
T100031,CH001,P05,2024-03-07,2024-Q1,1,£15.99
T100032,CH001,P03,2024-04-26,2024-Q2,1,£11.99
T100033,CH001,P01,2024-04-01,2024-Q2,1,£12.99
T100034,CH001,P03,2024-07-10,2024-Q3,2,£23.98
T100035,CH001,P06,2024-12-10,2024-Q4,1,54.99
T100036,CH001,P06,2024-07-13,2024-Q3,1,£54.99
T100037,CH001,P02,2024-06-13,2024-Q2,2,£29.98
T100038,CH001,P01,2024-06-26,2024-Q2,1,12.99
T100039,CH001,P01,2024-03-16,2024-Q1,1,12.99
T100040,CH001,P02,2024-12-10,2024-Q4,1,£14.99
T100041,CH001,P04,2024-10-19,2024-Q4,3,50.97
T100042,CH001,P06,2024-12-13,2024-Q4,1,£54.99
T100043,CH001,P01,2024-07-27,2024-Q3,1,£12.99
T100044,CH001,P02,2024-10-27,2024-Q4,2,£29.98
T100045,CH001,P05,2024-06-14,2024-Q2,2,£32
T100046,CH001,P05,2024-02-04,2024-Q1,1,£15.99
T100047,CH001,P01,2024-02-16,2024-Q1,2,£25.98
T100048,CH001,P03,2024-11-20,2024-Q4,2,£23.98
T100049,CH001,P01,2024-07-10,2024-Q3,1,12.99
T100050,CH001,P05,2024-02-10,2024-Q1,1,£15.99
T100051,CH001,P02,2024-05-20,2024-Q2,1,£14.99
T100052,CH001,P02,2024-01-01,2024-Q1,1,£15
T100053,CH001,P02,2024-09-09,2024-Q3,1,£14.99
T100054,CH001,P04,2024-04-28,2024-Q2,1,£16.99
T100055,CH001,P02,2024-08-04,2024-Q3,1,£14.99
T100056,CH001,P06,2024-08-08,2024-Q3,1,£54.99
T100057,CH001,P04,2024-12-27,2024-Q4,1,16.99
T100058,CH001,P03,2024-02-14,2024-Q1,2,£23.98
T100059,CH001,P01,2024-06-10,2024-Q2,1,12.99
T100060,CH001,P04,2024-08-10,2024-Q3,1,£17
T100061,CH001,P03,2024-02-06,2024-Q1,1,£11.99
T100062,CH001,P01,2024-07-28,2024-Q3,1,£12.99
T100063,CH001,P05,2024-04-21,2024-Q2,1,£15.99
T100064,CH001,P03,2024-06-21,2024-Q2,1,£12
T100065,CH001,P03,2024-04-11,2024-Q2,1,£12
T100066,CH001,P01,2024-12-12,2024-Q4,1,£13
T100067,CH001,P01,2024-01-18,2024-Q1,1,£12.99
T100068,CH001,P02,2024-06-22,2024-Q2,1,£15
T100069,CH001,P04,2024-06-01,2024-Q2,3,£51
T100070,CH001,P05,2024-11-01,2024-Q4,1,15.99
T100071,CH001,P04,2024-01-05,2024-Q1,1,£16.99
T100072,CH001,P01,2024-08-24,2024-Q3,2,25.98
T100073,CH001,P01,2024-06-05,2024-Q2,1,12.99
T100074,CH001,P01,2024-04-02,2024-Q2,1,£12.99
T100075,CH001,P04,2024-11-03,2024-Q4,1,£16.99
T100076,CH001,P05,2024-01-07,2024-Q1,1,£15.99
T100077,CH001,P04,2024-04-04,2024-Q2,1,16.99
T100078,CH001,P03,2024-03-22,2024-Q1,1,£11.99
T100079,CH001,P05,2024-11-09,2024-Q4,1,£15.99
T100080,CH001,P02,2024-03-11,2024-Q1,1,£15
T100081,CH001,P01,2024-09-09,2024-Q3,1,£12.99
T100082,CH001,P06,2024-11-25,2024-Q4,1,54.99
T100083,CH001,P01,2024-12-03,2024-Q4,3,£39
T100084,CH001,P04,2024-11-05,2024-Q4,2,33.98
T100085,CH001,P02,2024-06-11,2024-Q2,1,£14.99
T100086,CH001,P02,2024-08-12,2024-Q3,1,£14.99
T100087,CH001,P02,2024-09-02,2024-Q3,1,£14.99
T100088,CH001,P01,2024-01-18,2024-Q1,1,£13
T100089,CH001,P04,2024-09-25,2024-Q3,2,£34
T100090,CH001,P01,2024-04-28,2024-Q2,3,£38.97
T100091,CH001,P01,2024-08-20,2024-Q3,1,12.99
T100092,CH001,P01,2024-07-22,2024-Q3,1,12.99
